player,team,division,salary,league
Pete Crow-Armstrong,Chicago Cubs,NL Central,115000000,MLB
Juan Soto,New York Mets,NL East,51900000,MLB
Cody Bellinger,New York Yankees,AL East,42500000,MLB
Bo Bichette,New York Mets,NL East,42000000,MLB
Zack Wheeler,Philadelphia Phillies,NL East,42000000,MLB
Vladimir Guerrero Jr.,Toronto Blue Jays,AL East,40200000,MLB
Aaron Judge,New York Yankees,AL East,40000000,MLB
Anthony Rendon,Los Angeles Angels,AL West,38600000,MLB
Jacob deGrom,Texas Rangers,AL West,38000000,MLB
Mike Trout,Los Angeles Angels,AL West,37100000,MLB
Gerrit Cole,New York Yankees,AL East,36000000,MLB
Sonny Gray,Boston Red Sox,AL East,35000000,MLB
Francisco Lindor,New York Mets,NL East,34100000,MLB
Kyle Tucker,Los Angeles Dodgers,NL West,33000000,MLB
Jose Altuve,Houston Astros,AL West,33000000,MLB
Carlos Correa,Houston Astros,AL West,32799999,MLB
Tyler Glasnow,Los Angeles Dodgers,NL West,32500000,MLB
Tarik Skubal,Detroit Tigers,AL Central,32000000,MLB
Corbin Burnes,Arizona Diamondbacks,NL West,31700000,MLB
Corey Seager,Texas Rangers,AL West,31500000,MLB
Mookie Betts,Los Angeles Dodgers,NL West,30400000,MLB
Rafael Devers,San Francisco Giants,NL West,29500000,MLB
Nathan Eovaldi,Texas Rangers,AL West,29000000,MLB
Giancarlo Stanton,New York Yankees,AL East,29000000,MLB
Shohei Ohtani,Los Angeles Dodgers,NL West,28220000,MLB
Dansby Swanson,Chicago Cubs,NL Central,28000000,MLB
Blake Snell,Los Angeles Dodgers,NL West,27870000,MLB
Carlos RodÃ³n,New York Yankees,AL East,27830000,MLB
Bryce Harper,Philadelphia Phillies,NL East,27540000,MLB
Trea Turner,Philadelphia Phillies,NL East,27270000,MLB
Freddie Freeman,Los Angeles Dodgers,NL West,27000000,MLB
Kris Bryant,Colorado Rockies,NL West,27000000,MLB
Nolan Arenado,Arizona Diamondbacks,NL West,27000000,MLB
Yordan Alvarez,Houston Astros,AL West,26830000,MLB
Alex Bregman,Chicago Cubs,NL Central,26290000,MLB
