player,team,salary,league
Napheesa Collier,Minnesota Lynx,214284,WNBA
Sabrina Ionescu,New York Liberty,208060,WNBA
Teaira McCowan,Dallas Wings,201400,WNBA
Tiffany Hayes,Golden State Valkyries,200000,WNBA
Courtney Vandersloot,Chicago Sky,185000,WNBA
Alysha Clark,Washington Mystics,185000,WNBA
Moriah Jefferson,Chicago Sky,145500,WNBA
Michaela Onyenwere,Chicago Sky,125000,WNBA
Bridget Carleton,Minnesota Lynx,125000,WNBA
Sami Whitcomb,Phoenix Mercury,125000,WNBA
Rae Burrell,Los Angeles Sparks,125000,WNBA
Karlie Samuelson,Dallas Wings,118450,WNBA
Kayla Thornton,Golden State Valkyries,112000,WNBA
Tyasha Harris,Dallas Wings,100013,WNBA
Elizabeth Williams,Chicago Sky,100000,WNBA
Sophie Cunningham,Indiana Fever,100000,WNBA
Cecilia Zandalasini,Golden State Valkyries,100000,WNBA
Megan Gustafson,Las Vegas Aces,96820,WNBA
Katie Lou Samuelson,Indiana Fever,95835,WNBA
Lindsay Allen,Connecticut Sun,90000,WNBA
Sydney Colson,Indiana Fever,90000,WNBA
Katie Lou Samuelson,Seattle Storm,90000,WNBA
Lexie Hull,Indiana Fever,88261,WNBA
Julie Allemand,Los Angeles Sparks,85000,WNBA
Brianna Turner,Indiana Fever,85000,WNBA
Yvonne Anderson,Connecticut Sun,85000,WNBA
Iliana Rupert,Golden State Valkyries,84543,WNBA
Diamond Miller,Dallas Wings,83371,WNBA
Maddy Siegrist,Dallas Wings,83371,WNBA
Aliyah Boston,Indiana Fever,83371,WNBA
Kristy Wallace,Indiana Fever,80823,WNBA
Olivia Nelson-Ododa,Connecticut Sun,80823,WNBA
Mercedes Russell,Los Angeles Sparks,80672,WNBA
Nyara Sabally,New York Liberty,79999,WNBA
Lou Lopez-Senechal,Dallas Wings,79999,WNBA
Emma Cannon,Los Angeles Sparks,78831,WNBA
Veronica Burton,Golden State Valkyries,78831,WNBA
Dominique Malonga,Seattle Storm,78831,WNBA
Erica Wheeler,Seattle Storm,78831,WNBA
Sonia Citron,Washington Mystics,78831,WNBA
Jessica Shepard,Minnesota Lynx,78831,WNBA
Kiki Iriafen,Washington Mystics,78831,WNBA
Sug Sutton,Washington Mystics,78831,WNBA
