Team,Team_Code,Player_Name,Position,Salary,Salary_Amount
Las Vegas Aces,LV,Total Allocations,N/A,"$1,530,746",1530746.0
Dallas Wings,DAL,Total Allocations,N/A,"$1,518,904",1518904.0
Minnesota Lynx,MIN,Total Allocations,N/A,"$1,508,049",1508049.0
Atlanta Dream,ATL,Cap Maximum,N/A,"$1,507,100",1507100.0
Los Angeles Sparks,LA,Cap Maximum,N/A,"$1,507,100",1507100.0
Indiana Fever,IND,Cap Maximum,N/A,"$1,507,100",1507100.0
Las Vegas Aces,LV,Cap Maximum,N/A,"$1,507,100",1507100.0
Minnesota Lynx,MIN,Cap Maximum,N/A,"$1,507,100",1507100.0
New York Liberty,NY,Cap Maximum,N/A,"$1,507,100",1507100.0
Washington Mystics,WAS,Cap Maximum,N/A,"$1,507,100",1507100.0
Phoenix Mercury,PHX,Cap Maximum,N/A,"$1,507,100",1507100.0
Chicago Sky,CHI,Cap Maximum,N/A,"$1,507,100",1507100.0
Golden State Valkyries,GS,Cap Maximum,N/A,"$1,507,100",1507100.0
Connecticut Sun,CON,Cap Maximum,N/A,"$1,507,100",1507100.0
Dallas Wings,DAL,Cap Maximum,N/A,"$1,507,100",1507100.0
Seattle Storm,SEA,Cap Maximum,N/A,"$1,507,100",1507100.0
Phoenix Mercury,PHX,Total Allocations,N/A,"$1,506,620",1506620.0
Atlanta Dream,ATL,Total Allocations,N/A,"$1,506,483",1506483.0
Atlanta Dream,ATL,Active Roster,N/A,"$1,498,709",1498709.0
Indiana Fever,IND,Total Allocations,N/A,"$1,491,130",1491130.0
Los Angeles Sparks,LA,Total Allocations,N/A,"$1,487,034",1487034.0
Chicago Sky,CHI,Total Allocations,N/A,"$1,479,627",1479627.0
Seattle Storm,SEA,Active Roster,N/A,"$1,464,680",1464680.0
Seattle Storm,SEA,Total Allocations,N/A,"$1,464,680",1464680.0
Minnesota Lynx,MIN,Active Roster,N/A,"$1,438,629",1438629.0
Las Vegas Aces,LV,Active Roster,N/A,"$1,428,691",1428691.0
New York Liberty,NY,Total Allocations,N/A,"$1,426,104",1426104.0
Phoenix Mercury,PHX,Active Roster,N/A,"$1,402,693",1402693.0
Chicago Sky,CHI,Active Roster,N/A,"$1,330,240",1330240.0
New York Liberty,NY,Active Roster,N/A,"$1,323,847",1323847.0
Los Angeles Sparks,LA,Active Roster,N/A,"$1,312,314",1312314.0
Connecticut Sun,CON,Total Allocations,N/A,"$1,292,753",1292753.0
Indiana Fever,IND,Active Roster,N/A,"$1,271,683",1271683.0
Washington Mystics,WAS,Total Allocations,N/A,"$1,235,882",1235882.0
Golden State Valkyries,GS,Total Allocations,N/A,"$1,185,694",1185694.0
Dallas Wings,DAL,Active Roster,N/A,"$1,126,616",1126616.0
Washington Mystics,WAS,Active Roster,N/A,"$1,091,432",1091432.0
Connecticut Sun,CON,Active Roster,N/A,"$1,040,513",1040513.0
Golden State Valkyries,GS,Active Roster,N/A,"$1,001,805",1001805.0
Dallas Wings,DAL,Dead Money,N/A,"$392,288",392288.0
Golden State Valkyries,GS,Space,N/A,"$321,406",321406.0
Washington Mystics,WAS,Space,N/A,"$271,218",271218.0
Connecticut Sun,CON,Dead Money,N/A,"$252,240",252240.0
Indiana Fever,IND,Dead Money,N/A,"$219,447",219447.0
Connecticut Sun,CON,Space,N/A,"$214,347",214347.0
Minnesota Lynx,MIN,Napheesa Collier,F,"$214,284",214284.0
New York Liberty,NY,Sabrina Ionescu,G,"$208,060",208060.0
Dallas Wings,DAL,Teaira McCowan,C,"$201,400",201400.0
Golden State Valkyries,GS,Tiffany Hayes,G,"$200,000",200000.0
Chicago Sky,CHI,Courtney Vandersloot,G,"$185,000",185000.0
Washington Mystics,WAS,Alysha Clark,F,"$185,000",185000.0
Golden State Valkyries,GS,Dead Money,N/A,"$183,889",183889.0
Los Angeles Sparks,LA,Dead Money,N/A,"$174,720",174720.0
Chicago Sky,CHI,Dead Money,N/A,"$149,387",149387.0
Chicago Sky,CHI,Moriah Jefferson,G,"$145,500",145500.0
Washington Mystics,WAS,Dead Money,N/A,"$144,450",144450.0
Chicago Sky,CHI,Michaela Onyenwere,F,"$125,000",125000.0
Minnesota Lynx,MIN,Bridget Carleton,G,"$125,000",125000.0
Phoenix Mercury,PHX,Sami Whitcomb,G,"$125,000",125000.0
Los Angeles Sparks,LA,Rae Burrell,F,"$125,000",125000.0
Dallas Wings,DAL,Karlie Samuelson,G,"$118,450",118450.0
Golden State Valkyries,GS,Kayla Thornton,F,"$112,000",112000.0
Phoenix Mercury,PHX,Dead Money,N/A,"$103,927",103927.0
New York Liberty,NY,Dead Money,N/A,"$102,257",102257.0
Las Vegas Aces,LV,Dead Money,N/A,"$102,055",102055.0
