player,team,salary,league
Stephen Curry,Golden State Warriors,59606817,NBA
Joel Embiid,Philadelphia 76ers,55224526,NBA
Nikola Jokić,Denver Nuggets,55224526,NBA
Kevin Durant,Houston Rockets,54708609,NBA
Giannis Antetokounmpo,Milwaukee Bucks,54126450,NBA
Anthony Davis,Washington Wizards,54126450,NBA
Jayson Tatum,Boston Celtics,54126450,NBA
Jimmy Butler,Golden State Warriors,54126450,NBA
Jaylen Brown,Boston Celtics,53142264,NBA
Karl-Anthony Towns,New York Knicks,53142264,NBA
Devin Booker,Phoenix Suns,53142264,NBA
LeBron James,Los Angeles Lakers,52627153,NBA
Paul George,Philadelphia 76ers,51666090,NBA
Kawhi Leonard,Los Angeles Clippers,50000000,NBA
Zach LaVine,Sacramento Kings,47499660,NBA
Donovan Mitchell,Cleveland Cavaliers,46394100,NBA
Lauri Markkanen,Utah Jazz,46394100,NBA
Jamal Murray,Denver Nuggets,46394100,NBA
Cade Cunningham,Detroit Pistons,46394100,NBA
Trae Young,Washington Wizards,46394100,NBA
Evan Mobley,Cleveland Cavaliers,46394100,NBA
Luka Dončić,Los Angeles Lakers,45999660,NBA
Anthony Edwards,Minnesota Timberwolves,45550512,NBA
Pascal Siakam,Indiana Pacers,45550512,NBA
Tyrese Haliburton,Indiana Pacers,45550512,NBA
Domantas Sabonis,Sacramento Kings,42336000,NBA
OG Anunoby,New York Knicks,39568966,NBA
Zion Williamson,New Orleans Pelicans,39446090,NBA
Ja Morant,Memphis Grizzlies,39446090,NBA
Darius Garland,Los Angeles Clippers,39446090,NBA
James Harden,Cleveland Cavaliers,39182693,NBA
Scottie Barnes,Toronto Raptors,38661750,NBA
Franz Wagner,Orlando Magic,38661750,NBA
Shai Gilgeous-Alexander,Oklahoma City Thunder,38333050,NBA
Michael Porter Jr.,Brooklyn Nets,38333050,NBA
Brandon Ingram,Toronto Raptors,38095238,NBA
Tyrese Maxey,Philadelphia 76ers,37958760,NBA
LaMelo Ball,Charlotte Hornets,37958760,NBA
De'Aaron Fox,San Antonio Spurs,37096620,NBA
Bam Adebayo,Miami Heat,37096620,NBA
Desmond Bane,Orlando Magic,36725670,NBA
Damian Lillard,Milwaukee Bucks,36620603,NBA
Kyrie Irving,Dallas Mavericks,36566002,NBA
Jalen Suggs,Orlando Magic,35000000,NBA
Rudy Gobert,Minnesota Timberwolves,35000000,NBA
Jaren Jackson Jr.,Utah Jazz,35000000,NBA
Jalen Brunson,New York Knicks,34944001,NBA
Alperen Şengün,Houston Rockets,33944954,NBA
Deandre Ayton,Portland Trail Blazers,33654814,NBA
Jalen Green,Phoenix Suns,33584499,NBA
Khris Middleton,Dallas Mavericks,33296296,NBA
Immanuel Quickley,Toronto Raptors,32500000,NBA
Jrue Holiday,Portland Trail Blazers,32400000,NBA
Jerami Grant,Portland Trail Blazers,32000001,NBA
Jordan Poole,New Orleans Pelicans,31848215,NBA
Tyler Herro,Miami Heat,31000000,NBA
Julius Randle,Minnesota Timberwolves,30864198,NBA
Dejounte Murray,New Orleans Pelicans,30801103,NBA
Kristaps Porziņģis,Golden State Warriors,30731707,NBA
CJ McCollum,Atlanta Hawks,30666666,NBA
Jalen Johnson,Atlanta Hawks,30000000,NBA
Isaiah Hartenstein,Oklahoma City Thunder,28500000,NBA
Andrew Wiggins,Miami Heat,28223215,NBA
Derrick White,Boston Celtics,28100000,NBA
RJ Barrett,Toronto Raptors,27705357,NBA
Anfernee Simons,Chicago Bulls,27678571,NBA
Devin Vassell,San Antonio Spurs,27000000,NBA
Terry Rozier,Miami Heat,26643031,NBA
Tobias Harris,Detroit Pistons,26634146,NBA
John Collins,Los Angeles Clippers,26580000,NBA
Draymond Green,Golden State Warriors,25892857,NBA
Nic Claxton,Brooklyn Nets,25352272,NBA
Myles Turner,Milwaukee Bucks,25318251,NBA
Miles Bridges,Charlotte Hornets,25000000,NBA
Josh Giddey,Chicago Bulls,25000000,NBA
Trey Murphy III,New Orleans Pelicans,25000000,NBA
Fred VanVleet,Houston Rockets,25000000,NBA
Mikal Bridges,New York Knicks,24900000,NBA
Bradley Beal,Phoenix Suns,24737010,NBA
DeMar DeRozan,Sacramento Kings,24570000,NBA
Jaden McDaniels,Minnesota Timberwolves,24393104,NBA
Jonathan Kuminga,Atlanta Hawks,23799569,NBA
De'Andre Hunter,Sacramento Kings,23303571,NBA
Aaron Gordon,Denver Nuggets,22841455,NBA
Kyle Kuzma,Milwaukee Bucks,22410605,NBA
Kentavious Caldwell-Pope,Memphis Grizzlies,21621500,NBA
Naz Reid,Minnesota Timberwolves,21551724,NBA
Nikola Vučević,Boston Celtics,21481481,NBA
